	T1	n1	T2	n2	T3	n3	T4	n4	T5	n5	T6	n6	T7	n7	T8	n8	T9	n9	T10	n10	T11	n11	T12	n12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	n27	T27	T28	n28	n29	T29	T30	T31	T32	n32	T33	n33	n34	T34	T35	n35	n36	T36	T37	T38	T39	n39	T40	n40
T62878	498.3875	1044.161	209.1925	602.1775	807.2125	814.7188	626.3213	1036.684	1307.055	1404.974	1713.014	1441.469	1038.553	1091.636	1396.09	1444.034	582.195	849.2438	985.7288	1193.896	1146.634	824.5075	1106.589	329.9163	1922.338	576.4213	495.6788	1317.794	905.8613	1588.979	1224.03	673.22	1374.678	1209.613	773.6188	1206.381	805.8875	1476.498	827.72	1003.735	462.3225	1505.486	1927.12	2089.304	2056.699	3010.968	3386.196	1189.845	683.1775	1422.54	821.7588	2345.196	1263.753	1820.346	736.31	1312.503	520.5538	468.0825	1566.421	936.6513	777.91	1206.814
T62884	80.1975	66.37875	18.91125	37.5475	84.55875	75.53125	47.33875	52.2	152.0963	137.37	207.7	89.8875	79.6	32.68625	76.81125	11.5675	59.0175	68.2625	87.79625	96.05375	52.4175	65.8725	94.21375	34.6725	112.0463	48.5975	51.6625	153.2263	86.70125	126.9513	95.24	75.62625	68.53	101.1625	34.92375	87.79375	81.71375	87.42	120.3363	63.15	40.16	165.5813	217.4825	148.4963	240.7075	223.4188	202.3887	129.6938	96.60125	25.555	126.9963	278.1963	80.60125	97.64	115.17	44.6025	56.415	29.345	33.33875	40.8025	104.1363	112.5588
T62904	23.585	143.21	35.045	33.1	84.97875	53.43625	33.32	89.2925	24.9025	173.8688	251.2938	88.36625	128.0788	59.505	71.84625	50.22375	28.80875	58.97125	53.90125	119.205	30.9875	177.6263	38.07125	30.58625	121.6963	151.2575	91.14	76.54	201.575	104.2138	48.0975	112.7225	84.0975	99.58375	51.75125	78.51625	171.3975	122.7913	112.5313	87.70625	23.1975	159.7325	274.0587	237.7738	424.085	233.73	410.6175	440.8238	116.9588	78.45	51.1525	53.7425	25.19	97.12875	91.01625	145.5938	60.27375	37.51875	130.7988	218.93	32.21375	68.15625
T62947	74.5325	66.07	33.96	46.4275	120.195	70.93	88.92125	43.555	295.1975	108.635	171.9363	152.765	72.15875	79.4375	190.4963	83.505	109.6425	46.93	132.5613	82.28625	98.69875	66.5725	176.4	17.8175	266.455	53.7575	82.27875	137.895	155.3363	258.505	290.0587	72.17125	139.585	147.1375	107.9538	162.59	114.1788	240.3363	87.1275	235.145	49.3325	100.745	147.9575	275.3575	192.995	244.1225	478.2675	23.60625	27.87	75.9275	28.09875	259.7625	97.48	142.64	18.1625	123.63	52.68875	56.25875	147.075	33.63125	117.4288	154.0125
T62972	2817.286	2208.489	1434.339	2012.364	621.4338	442.485	1703.139	635.09	1282.281	664.7913	5827.679	2983.476	1194.713	1484.715	1938.545	2739.774	2224.25	555.5188	983.95	626.4275	3350.746	1535.718	1235.759	196.9288	2567.466	2556.784	1752.476	2699.603	5064.848	3921.313	2793.256	1592.574	2075.419	1732.018	1753.663	765.5113	1686.309	1482.504	200.3613	728.1375	338.2487	223.7975	1571.433	5290.964	2879.453	5127.444	2292.221	432.44	567.6738	440.2963	231.9113	1719.299	71.945	262.8413	425.2825	46.66	148.67	658.09	348.0738	1259.986	127.8463	69.0075
T63133	619.7125	835.9475	827.4625	896.465	300.07	133.2613	794.09	338.955	2203.764	290.5763	242.6975	708.695	767.795	725.965	1253.869	2084.251	466.1063	272.4713	494.8738	124.1	1594.916	826.2638	1125.471	166.92	848.5188	932.6763	693.2913	1175.31	2012.055	1774.418	2505.135	351.9513	402.2625	1062.504	941.85	516.4388	664.4113	688.5888	692.5113	689.4638	1002.524	503.7938	646.83	708.8025	1585.378	1002.369	1282.559	520.4563	502.4938	524.1075	1037.621	1292.523	1027.701	894.08	403.8888	220.6388	917.7588	471.1113	779.8113	507.0725	649.4563	519.7975
T63258	2018.355	2430.879	1880.188	3124.249	719.4525	422.6563	1746.844	1215.653	2497.811	807.95	762.1563	2442.456	1752.228	2080.255	1609.354	2256.549	1310.948	1026.974	1189.425	454.1375	2135.76	2443.27	787.405	471.7663	2424.275	1230.505	1372.884	4111.698	3503.864	2203.451	3232.296	596.0775	982.2613	2360.426	1394.871	868.525	2487.659	956.835	1239.261	1590.3	803.0313	990.69	1543.835	1633.781	2475.934	1442.28	1624.57	1470.048	621.03	1773.916	1910.615	2229.656	1508.505	2018.571	720.6875	672.5175	1781.7	685.9825	1677.315	1100.02	881.66	1164.651
T63370	813.6075	572.9213	330.2113	493.1225	628.8925	522.3975	734.5063	660.6788	1322.7	796.2275	2149.2	1043.195	933.1025	834.7213	1552.908	1761.765	1414.698	444.9675	1049.621	578.8513	1123.824	639.42	1853.013	206.8313	1979.009	467.3463	526.6975	1413.678	1352.23	1633.853	2521.206	863.1438	1395.709	1445.769	881.6363	1194.401	614.3913	1565.639	677.91	1293.791	515.0388	688.2988	1246.38	1922.228	1471.746	2394.541	2226.609	469.765	344.155	1322.726	1345.91	2348.968	1851.485	898.7	773.1563	633.16	657.185	573.4188	1163.904	229.49	825.94	1028.111
T63484	1135.824	1459.103	734.5287	1133.238	1903.583	1639.148	1644.276	2560.443	3597.075	2578.583	4906.445	3030.321	2294.889	1670.928	2683.259	1873.188	2262.193	1233.636	2160.196	2108.411	1815.53	1294.063	2324.088	568.015	2943.06	1374.824	1055.286	2913.725	2514.401	3173.873	3226.655	1924.864	3319.133	3504.186	1730.533	3139.62	1522.125	3892.938	1948.643	2726.34	1574.103	2883.85	3687.379	4783.519	4043.165	6801.939	5809.541	2712.734	1293.401	3509.815	1582.641	6943.249	2585.654	2961.521	3174.834	3017.2	3163.755	1205.948	4192.373	1983.449	1884.115	3162.644
T63496	120.7788	129.215	77.7875	173.1138	101.7925	71.24625	109.865	86.59	324.07	87.3325	167.315	244.0775	92.85375	56.1725	143.4413	104.8525	43.395	40.4275	100.8825	43.31875	213.2463	172.0825	55.7	35.51125	152.405	148.3463	158.5663	338.4675	339.92	325.4688	374.965	42.96	79.05625	295.5038	112.3038	121.785	293.1862	105.6888	176.1188	211.2488	185.2475	178.9763	171.5462	177.7863	356.6212	208.3063	236.5325	177.6525	180.6712	142.7413	109.84	291.06	117.7988	186.8825	123.8338	56.17875	122.15	170.2525	189.3325	114.0363	148.8388	109.9275
T63499	1993.446	2465.438	844.1675	1545.87	1132.543	677.255	2011.848	2077.205	3837.968	2288.171	4203.331	4147.799	829.4438	908.665	1785.164	576.4188	1034.776	1772.305	1783.461	1009.988	3022.701	1870.998	1298.946	294.465	2046.878	2299.075	1418.011	2921.273	4758.48	3290.313	2733.485	1881.998	1986.88	2149.309	2039.289	1090.21	2502.966	873.9788	954.8713	1325.448	1938.295	2510.798	4715.896	3860.249	3846.838	4023.295	2585.696	2525.624	1572.098	1474.268	2518.999	4120.94	1439.759	1101.549	1779.744	1081.59	1244.559	736.7525	1898.339	1916.021	2290.681	2071.859
T63508	1306.904	2036.284	1618.65	1597.281	2162.554	1586.244	1452.915	3154.829	2193.694	3078.744	4143.384	2863.18	1567.696	2266.1	2329.351	2091.58	1534.755	2974.738	2461.661	3553.489	2181.626	1802.48	2580.686	1246.654	2748.2	818.4363	736.8738	2328.3	1487.414	2015.656	3816.628	1518.918	1762.46	3442.744	2238.228	2764.994	1365.286	1939.463	1790.984	1640.21	1144.096	2226.145	3489.365	4680.408	3372.571	4277.199	4069.59	2272.514	960.1263	3898.801	923.4	2813.41	2738.019	3021.403	1808.725	1989.299	1898.293	848.9675	3717.11	1391.826	1163.009	2148.928
T63539	158.1988	208.5888	162.2913	193.7863	88.45	62.4525	108.3625	71.54	202.6463	113.6925	84.0675	194.175	142.1263	132.3463	191.315	102.5863	69.18125	104.3925	57.6925	51.56125	195.4613	210.4888	83.74	54.24125	194.31	108.9863	105.4475	336.6625	225.255	219.3025	284.6075	38.97875	57.24	284.98	91.865	71.73375	276.91	65.32375	55.98625	62.4625	158.6275	73.1825	137.1463	170.6725	269.9063	165	204.6613	152.4688	57.145	107.145	160.6175	78.86	79.09875	163.3013	32.1875	67.88125	47.21625	133.0513	79.7625	32.27625	42.485	33.5175
T63591	1152.965	1012.453	438.6088	920.4663	381.2413	167.16	576.1863	227.71	1085.329	327.68	354.8087	1129.934	528.4138	614.0588	698.945	1751.769	505.95	238.4638	449.0013	117.7413	1181.87	905.4263	515.815	108.505	1411.178	818.7263	847.195	2411.513	2029.515	1951.855	1918.93	207.1463	493.21	1691.806	703.7863	640.2463	1292.185	681.7825	718.29	1423.121	401.3675	446.7338	938.5188	1195.428	1396.451	1397.854	1745.441	586.5988	660.55	724.3538	1266.46	1593.22	1211.978	1197.313	422.615	339.675	617.4975	583.7725	1394.045	501.8413	796.285	586.5287
T64012	90.52125	118.965	111.97	130.0575	70.89375	44.1875	107.4788	88.305	80.5825	67.30125	70.84375	131.2088	74.97375	72.68875	113.7213	64.1075	32.42	33.99375	62.285	55.74125	107.305	113.4738	32.03375	19.62375	105.9438	64.17125	65.29125	158.5625	140.2425	98.10125	150.6413	14.77625	28.5325	106.3488	58.52	37.62875	125.6513	34.9725	88.83375	95.725	83.02875	130.2925	124.2688	92.1575	209.3887	106.0763	120.4713	93.93375	52.04375	75.52875	44.37125	66.87125	85.06125	162.1213	545.7513	28.52625	88.54625	59.3525	60.525	99.7125	56.10125	63.74625
T64128	86.81	321.3375	116.1838	239.27	52.59125	84.20625	72.24625	60.5275	110.2138	149.91	66.685	174.555	171.4113	88.10625	120.8138	6.01	23.39625	78.5	75.25125	46.575	85.415	161.6288	40.92875	27.79375	211.5088	323.8513	185.7012	157.6275	751.0475	177.75	595.1763	116.31	98.14	198.5038	380.22	109.4925	118.57	115.1413	298.6763	214.3938	367.9175	481.3175	313.3075	106.7938	1090.618	381.4625	112.115	641.8563	244.7488	658.6363	42.5775	126.9013	284.66	491.4863	224.2325	256.1363	83.34875	206.95	130.3725	414.85	151.4475	309.56
T64467	232.6369	390.2988	145.6631	240.1167	278.4952	304.7405	251.881	461.4881	355.1726	572.2286	781.5714	481.4107	624.2131	322.2202	576.9643	308.5238	155.9381	240.731	320.1095	464.9952	258.825	301.4429	336.2845	124.0536	563.7905	148.9095	174.2952	452.0988	264.756	398.8333	653.3929	329.025	403.3048	538.0214	315.8607	466.175	260.2726	399.156	422.8083	420.8833	224.425	928.206	1016.855	1040.969	895.8929	1483.2	1106.971	712.0631	261.7202	577.9143	463.8643	768.375	460.6417	705.7488	498.0619	541.531	274.5952	126.775	521.9893	453.6857	309.756	530.0881
T64878	911.935	1029.425	1516.828	1381.616	891.7438	745.9037	1488.17	820.5138	2200.864	1653.769	1265.354	2148.404	816.6175	616.25	1210.485	964.515	65.22125	112.2225	1261.476	863.9113	753.5975	729.9363	122.7238	107.1988	694.2713	463.9875	590.1388	964.0175	1616.583	1211.489	1180.516	236.12	354.84	747.7413	351.2563	348.3288	2238.643	342.9175	761.8025	615.2025	418.055	726.4625	850.2613	703.65	2290.969	490.2663	866.6788	834.2663	670.0988	569.9738	415.78	821.9488	391.9138	678.0088	612.7038	450.8288	612.94	211.66	671.775	811.9788	450.9575	737.6225
T64885	139.8763	146.1775	153.4163	227.2788	66.0675	46.0675	79.7625	121.71	115.655	108.4675	64.95125	203.0675	149.7913	116.665	164.8225	133.5163	36.07375	43.43375	55.59125	38.34	176.6638	195.9525	33.39125	20.4475	188.08	88.03625	82.99625	234.9925	182.7563	135.49	167.2163	29.5	46.1825	155.3013	86.1825	58.4125	100.52	49.815	149.0625	128.9763	116.0188	154.0638	149.0825	80.58625	1498.239	118.8763	143.3663	111.4975	95.34875	206.7575	155.6775	206.2538	146.5038	180.1275	99.35875	81.99625	165.3363	106.1925	134.8975	131.8438	85.37	138.7413
T64941	392.9238	490.24	269.2988	549.16	242.7925	159.4763	329.3863	384.5575	222.7038	321.2788	254.2563	508.8225	299.1225	233.105	345.575	192.9212	108.35	158.4438	238.6338	117.3788	382.205	509.3975	102.5638	61.33875	456.0613	216.36	230.4138	732.9875	654.435	451.855	673.1013	95.7375	150.275	644.4188	211.5263	135.0525	552.0175	119.72	653.6563	469.4075	441.8088	684.1163	603.9513	509.0813	1137.985	527.1675	720.965	571.88	555.6713	611.2413	518.66	679.1725	420.5713	732.2075	359.32	367.1237	410.3475	296.3288	599.4138	566.3313	314.4463	409.1613
T64974	215.9525	334.6363	124.7375	124.7638	467.3075	335.85	290.965	200.3213	312.21	332.2138	1177.336	418.5675	445.5375	172.1625	541.285	71.7475	53.8875	52.7675	272.4625	299.43	195.7025	270.745	56.49625	25.06625	513.285	257.435	251.37	493.6725	489.2375	477.8325	505.9963	581.9913	505.6613	657.1025	172.0913	672.5513	721.8325	287.8688	318.11	365.3838	289.385	894.5413	1275.248	838.435	708.1338	1181.123	1534.424	674.0613	508.6113	562.8425	538.4675	1005.709	403.1188	690.4075	892.2863	763.175	631.9813	367.6325	610.3038	476.955	352.4938	426.4688
T64983	322.9452	342.7393	325.2643	462.7619	172.6595	117.8345	277.2619	249.0345	516.3833	237.0774	189.6893	571.6274	252.2143	265.0107	285.1631	428.0286	174.7476	169.5881	233.8286	95.21429	316.1798	351.4691	173.9536	75.59524	426.2738	177.9262	213.9381	630.7762	700.1726	466.0119	616.2036	91.11667	121.9679	463.9488	211.3298	117.8524	552.8774	149.456	276.231	314.3941	248.9988	238.4071	423.1333	275.2786	637.4631	370.6845	370.5476	360.7381	203.7941	386.1929	309.7929	391.7833	206.5964	375.0202	149.4929	169.3048	344.8393	208.9988	228.0738	226.3619	136.7	221.4905
T65003	556.0213	429.335	213.6863	391.4213	451.545	324.8325	509.5288	334.0313	1693.596	510.5175	1241.674	668.0725	367.1175	587.7737	914.2575	1487.316	707.0538	308.05	462.67	336.115	446.6838	397.53	1125.198	200.7213	962.3438	177.0238	240.895	997.8175	719.5287	589.385	1056.973	335.465	556.5875	884.5013	342.4138	684.5738	622.9913	935.87	288.1963	588.65	344.6788	323.7225	661.065	1289.719	762.2975	902.295	1566.478	235.64	171.6263	833.4662	633.5075	1487.945	604.815	456.795	276.7813	284.6775	335.4275	160.8113	553.0675	240.4813	375.8838	472.4688
T65380	211.0405	310.1179	126.6262	179.5583	77.43333	82.8631	146.9976	184.4274	202.3143	246.2452	146.1476	309.7536	119.4548	142.925	160.8571	134.3952	112.0345	170.3143	138.119	90.99167	237.8286	342.9286	75.68571	122.5083	390.275	174.5024	143.9417	497.4702	415.5	269.9095	313.0369	74.13452	42.29524	316.9905	188.9357	95.1881	310.9583	104.5405	89.59286	154.7321	118.075	181.8214	285.1845	169.8476	401.0488	141.8405	179.1417	222.8191	53.49643	289.6226	181.875	214.0988	198.2583	232.3571	75.52738	118.4083	181.2714	110.7179	183.5298	174.1821	76.61786	131.2643
T65438	68.94	131.2463	39.73625	67.86625	166.0438	117.4388	172.8	124.9363	498.6988	254.9688	601.3088	260.5375	167.9413	81.10625	248.7238	217.59	68.755	78.4525	217.6425	166.1575	166.995	82.77625	185.13	61.42125	275.2325	118.2938	127.3575	291.1625	166.3113	309.7775	214.0363	183.5488	345.6175	369.1738	170.4788	360.1063	201.1238	398.1925	146.3013	215.1738	108.4113	264.7213	535.0725	706.205	481.3313	884.7588	890.4725	339.08	106.2213	297.1888	121.6963	570.97	161.6238	234.1863	168.7763	200.45	194.23	81.5325	368.0638	173.4313	170.2713	215.67
T65580	875.6213	907.6813	575.6075	602.9313	335.1413	272.0612	758.565	503.3188	845.755	492.285	3384.5	1508.19	461.31	460.4563	609.555	192.5113	522.595	275.5313	686.5438	335.3363	1113.128	965.6275	322.0688	85.19	634.7162	537.52	472.515	1121.035	1395.993	2065.265	1944.054	990.0813	984.2313	1206.945	1284.899	517.98	178.5263	435.7563	470.5563	1110.684	644.4975	926.62	2313.02	1567.143	2026.624	1899.525	991.6288	770.5888	961.2675	1145.81	1355.771	2512.548	648.5738	806.59	1062.268	607.1788	631.9675	479.825	2279.729	1161.076	1113.075	1316.845
T65594	91.53875	285.4638	130.9025	253.4663	415.1675	318.2663	340.0238	394.7	272.1963	507.2225	1038.519	394.0625	201.5963	181.64	546.3075	211.7463	93.29875	198.625	363.88	407.6338	235.0088	212.0125	269.8188	74.42375	614.8025	218.7738	193.4363	504.73	291.8138	414.2263	652.47	458.5588	463.1225	1048.543	234.5938	637.3113	438.3088	544.9163	308.7038	394.5938	298.7675	762.6525	815.405	1386.448	686.3838	1543.765	1650.591	534.44	237.735	422.7	542.35	662.83	539.8688	652.46	574.1975	630.9913	401.885	203.3088	541.4713	360.5025	465.99	380.1088
T65740	82.91375	96.7075	29.63	69.875	72.5275	43.10125	104.9475	153.5475	384.845	107.9475	279.2363	139.2488	141.5063	66.8775	196.68	95.22375	72.685	74.79125	133.78	79.04625	214.1925	87.375	255.0163	30.325	330.3163	127.2263	75.67125	383.6013	177.855	275.795	215.1725	163.325	173.7962	356.3213	198.0213	424.5025	78.1125	284.8425	121.4875	285.2388	80.3275	225.755	501.4725	818.6138	367.1175	1015.764	909.285	280.9575	93.63	256.635	151.7525	721.585	197.3438	282.845	196.7925	165.3175	111.2525	49.26875	437.225	118.3063	220.3138	247.1963
T65758	298.3275	310.9225	35.74125	151.2975	108.3038	34.28	148.365	45.3725	284.6338	76.29625	132.0438	220.4225	159.4413	90.11	192.6087	123.1563	40.92	43.6425	88.5825	27.7225	524.3288	219.355	74.35875	24.205	311.7325	331.58	173.5575	763.5513	531.9638	266.685	135.0075	68.47875	147.0838	418.0163	329.6963	136.2538	277.7813	221.8513	140.345	313.7138	358.0488	336.39	298.0188	178.395	410.5575	605.9838	1176.368	322.54	150.5675	190.6163	257.605	309.6638	447.9938	523.48	165.5413	144.3188	160.2688	215.2788	329.2538	295.5612	236.0838	145.2713
T65790	94.53	129.05	77.4	182.59	81.48875	35.27375	146.4588	94.06375	107.0075	41.9025	72.30875	86.2275	127.1225	82.96125	170.2738	87.94875	36.99375	36.23625	93.3175	36.32625	179.6338	190.4212	39.5675	25.19875	161.9238	243.0163	125.2613	348.5238	189.3438	231.9288	142.5788	41.11875	58.1875	130.6575	172.9913	160.8738	329.6388	109.6325	95.69375	150.1113	194.81	140.7188	167.5363	307.4987	248.4663	258.7675	390.005	185.875	82.71875	96.7325	197.2538	210.8963	215.5275	182.315	106.2713	89.43875	85.825	86.51125	192.7475	138.5938	100.54	89.61125
T65792	86.13095	126.0071	43.125	121.5036	33.12738	49.49167	87.06905	89.55714	165.7036	122.8929	62.43095	137.8988	76.75714	58.10476	93.14881	48.8131	34.23214	64.0381	64.25595	38.94643	109.0714	152.1155	33.01667	21.87024	134.0357	71.54286	109.4762	187.6452	243.2631	183.2131	224.806	36.19881	27.34643	120.7107	78.21191	77.71905	145.7214	41.48095	70.325	99.93452	61.23691	118.4381	112.7071	50.77262	257.3607	97.14524	97.66905	137.7131	25.91667	47.20357	65.19643	110.1964	96.9881	187.4595	46.41429	56.46191	109.4964	35.60357	58.02143	134.9738	75.93452	34.44405
T65938	7526.386	7017.734	3296.951	3869.785	3303.371	1675.544	6411.268	4373.044	6880.346	4488.06	14144.84	10012.81	2968.096	2824.784	3855.771	2982.883	6749.665	3917.266	4866.809	2628.594	5188.921	6939.093	2197.634	1179.935	5130.408	3634.384	4139.286	6936.536	8642.836	9363.434	7043.591	4185.623	4209.113	5019.054	3763.138	2958.988	6223.86	2683.025	1482.971	5460.936	2430.015	3965.97	2534.904	9515.121	6518.736	6013.951	4038.185	3182.255	3865.809	5341.008	4191.89	7675.28	4477.451	2292.209	3297.401	995.79	2919.919	1887.621	4644.443	3512.334	2927.794	3767.003
T66960	122.2175	242.1038	122.595	132.2875	77.85375	31.7225	56.1475	52.0075	82.1025	98.54625	102.4538	232.3063	94.8325	86.6775	151.2063	55.52125	31.46875	15.5125	71.95125	35.54875	166.3563	180.1425	13.86625	20.08375	92.51	115.185	73.87	160.35	265.1538	104.62	260.155	71.5025	45.97875	201.5938	94.68875	59.45625	164.97	79.97875	118.5113	86.85875	181.9788	102.575	334.0625	105.0825	408.5875	119.73	335.4513	231.7125	161.66	359.98	128.3113	167.3925	183.66	261.3175	79.3225	134.9975	281.6438	150.6538	20.795	115.4525	39.435	160.95
T67077	51.22143	158.1298	132.85	166.3131	38.95714	30.79524	37.58214	80.06786	60.99881	53.84524	33.32143	187.7607	81.14167	67.36667	104.1964	112.0321	24.72619	25.00595	16.68214	43.38452	45.27024	87.67262	11.69405	17.46786	26.24643	24.20119	39.99762	81.0881	54.88691	50.47976	50.71667	26.66905	27.10357	63.25119	21.56191	11.32381	76.14881	17.17143	114.9381	73.58571	36.93809	96.70595	242.7286	118.3405	242.9845	25.56905	83.40714	208.6869	108.3571	174.9548	45.6881	61.69286	63.37976	201.7667	28.67857	66.15	100.2357	13.64881	18.09405	110.15	55.7881	116.8631
T67173	30.84625	121.0425	68.59	136.7625	19.55875	19.01625	98.05875	75.1	133.065	53.18375	51.125	81.10125	104.7963	115.2738	143.3538	115.0463	20.85125	9.3675	29.9775	51.77125	40.5875	58.74875	8.22	13.09875	51.80375	60.79625	49.4775	121.4125	203.1675	96.73625	90.915	30.22875	32.0525	109.7675	33.275	33.68125	134.265	28.4475	61.45625	73.01875	38.92625	123.425	210.7075	39.4575	222.6963	32.84625	56.6875	211.3663	45.99875	98.27	65.58	80.135	111.7725	112.0275	64.17625	59.16125	108.7788	53.23875	110.2913	143.1025	73.51125	58.67125
T67406	71.2275	90.665	52.68375	51.6175	84.535	94.77625	45.6425	195.8463	88.6	259.3325	128.0563	175.825	97.7925	45.00625	155.615	29.90625	28.945	22.035	59.8	110.9488	28.91	344.3125	26.045	13.81625	137.55	28.8725	48.66375	65.60125	66.8125	83.71875	163.8825	289.3175	69.83625	139.7175	48.1875	67.99125	95.165	54.02125	56.705	87.73625	61.91	51.45875	164.31	95.0525	152.2275	198.1113	177.5925	275.8075	73.75875	342.25	63.31625	146.0275	52.92875	244.7425	97.96875	179.4138	464.3188	30.13375	79.37875	50.05375	121.0813	558.74
T67433	59.33875	63.6175	37.41125	42.5975	45.99625	81.69625	119.4013	123.5438	125.6863	187.3688	73.6775	164.5625	105.5288	114.1875	220.815	97.65	64.59625	87.3875	70.49625	91.8725	74.835	123.9575	106.6175	32.97875	170.4288	32.07625	83.12375	88.45	40.14125	339.5225	130.4475	82.95	130.1688	22.865	74.4575	133.0675	17.48375	105.3788	106.8113	87.91	27.75875	97.48125	299.2688	256.4575	177.9212	206.32	184.8725	97.455	54.6	158.7138	127.2675	601.2775	179.0988	202.345	15.72875	130.5825	51.33875	30.65875	153.4475	73.50875	52.895	94.66625
T67897	230.51	267.225	86.325	171.7263	139.2788	81.13375	172.4813	130.095	251.3613	187.1325	108.1188	258.8638	109.3488	86.355	202.9863	90.22625	39.9975	59.36375	117.9975	74.3675	187.2613	224.5163	47.01	28.2875	170.4625	91.6975	114.64	237.5988	363.3063	234.1038	323.0763	52.83625	44.64625	178.49	93.725	60.74875	355.8625	70.24875	190.3688	140.4538	156.9763	200.2088	284.2213	186.8225	440.6138	206.185	259.5125	216.8188	167.8538	152.0813	162.7088	182.3262	176.9088	311.1875	114.1063	184.1675	190.9438	121.7325	113.9275	201.1313	85.1075	202.315
T67905	244.39	668.6613	45.84875	146.5575	416.4425	241.5488	299.7975	192.345	286.8875	879.97	1547.229	560.1813	538.4988	495.535	334.665	392.6913	113.43	212.08	226.2488	639.3138	632.8362	690.3575	351.1425	198.0488	650.5613	622.0513	517.5475	573.9363	1303.295	1510.943	409.645	550.7775	395.9125	602.4875	411.2275	303.1237	622.3738	521.53	440.965	118.5225	173.155	632.7275	336.585	656.285	1226.553	349.86	1406.215	953.0338	526.5675	523.5738	390.0575	332.7125	243.6113	234.8238	354.2288	456.1875	106.7488	138.0275	637.4438	644.0075	332.6625	301.9738
T67921	352.4427	404.7456	377.4015	573.5544	146.4544	177.5044	213.4662	336.9927	140.4824	304.7397	236.5132	430.0735	258.025	275.9177	343.25	200.4044	138.8529	163.5368	173.1132	102.6735	307.4882	476.5721	141.6132	58.66765	485.1765	158.5471	155.6677	489.5427	238.6662	298.2265	396.0059	42.79559	81.9	381.2294	163.625	104.5897	175.2294	96.66912	227.2015	259.0177	292.4074	347.0941	393.4235	145.1191	739.7853	227.1324	325.6397	304.7132	72.08235	434.4	139.7485	303.475	435.8897	476.4118	233.5809	107.2162	196.875	241.9838	317.2632	366.8971	166.8294	105.4265
T68098	68.21375	133.5963	97.9175	153.6263	63.0375	69.255	143.0325	82.99625	62.63125	76.2175	50.685	162.7113	84.73375	92.8925	68.9575	77.9275	31.8025	33.85875	49.7875	33.13125	94.24	169.7388	69.03625	24.6175	104.9988	59.0375	52.84625	173.0113	109.8825	200.11	227.5088	23.61375	24.94125	118.5213	56.67	34.7075	78.69625	23.9325	77.74125	109.8463	85.89875	126.125	153.06	55.745	246.2813	89.31875	80.9875	132.8538	36.1175	82.93375	58.8675	110.5075	22.79125	194.0163	73.835	64.005	103.13	57.74125	101.605	131.9837	79.43375	34.3375
T68848	749.5425	904.275	262.695	310.14	1039.28	345.1888	573.7638	276.3087	1105.836	1332.865	3273.473	997.8088	1012.829	478.225	933.6288	742.0738	479.4975	280.1263	470.9525	587.6275	1382.174	1100.164	933.6425	233.2525	1389.04	1623.646	1575.678	2063.157	3172.674	2948.235	1583.668	1190.738	1055.823	1748.564	789.5588	783.255	1482.919	1322.669	910.89	1062.865	310.5725	965.1275	810.3412	2149.583	2439.863	2638.801	2298.853	1554.885	763.4025	925.3338	1288.258	1336.329	865.2838	715.4813	1407.629	844.4388	510.56	443.58	1444.476	1267.478	854.6725	642.4975
T69026	625.8738	1418.907	280.1667	485.6024	901.4381	441.0607	720.8321	441.3226	571.0119	1617.636	3039.641	1180.662	1427.752	833.2441	783.2905	1194.904	494.7429	569.2036	538.7036	826.825	534.4905	1882.531	1011.9	382.3381	1506.916	1046.804	1306.643	2057.98	3298.764	2346.873	1423.851	955.3369	847.2298	1227.018	460.7941	775.1226	1990.729	1204.481	1004.154	1655.425	308.0691	610.8179	2324.311	2690.966	2728.075	1513.63	2774.738	1666.775	969.4071	1789.133	1093.181	1289.089	673.0524	713.7357	493.5048	710.756	803.2643	480.4143	2239.773	1142.027	376.6417	900.5893
T69271	312.9179	326.3976	187.0393	333.8786	180.8143	139.9917	268.025	270.8167	257.0155	188.2012	220.925	315.3976	246.7643	206.475	315.8167	173.8417	112.5024	93.76191	197.7619	106.2405	272.3417	320.1691	120.8988	44.43452	383.2941	194.5845	196.8167	564.6643	606.656	402.3619	564.5381	84.44881	109.7691	328.0381	195.706	116.1333	412.8309	131.1345	420.4	353.8274	269.0298	363.5226	382.0548	379.3274	689.0821	430.1964	405.7786	386.3798	201.5714	405.9214	322.0571	436.5667	262.9107	528.3298	223.0929	196.3226	265.3786	223.2024	312.1679	326.7964	172.5607	285.8798
T69425	187.22	570.7213	403.1625	590.58	200.5963	157.05	149.0338	111.4163	604.0875	327.9663	161.735	1136.92	308.395	276.965	283.4975	345.8025	55.5325	86.5625	116.075	131.595	81.4825	711.9662	78.8475	64.3975	174.9925	160.4563	292.48	336.1775	750.5775	329.4488	1268.163	186.475	153.1763	425.46	372.7088	128.2063	415.14	85.20125	137.8525	244.4213	402.5388	176.7488	915.7525	296.3075	1025.385	375.0863	412.4775	888.4313	191.56	375.815	103.2125	82.86875	104.935	889.3763	69.4525	326.1563	1314.476	216.14	54.69125	163.1175	61.805	103.0225
